Longitude,Latitude,Grower - Name,Farm - Name,Field - Name,Year - Date Modified,Area Count,Air Temperature(°F),Crop Flow (Mass)(lb/s),Date / Time,Differential Valid,Elevation(ft),Estimated Volume (Dry)(bu/ac),Estimated Volume (Wet)(bu/ac),Moisture(%),Speed(mph),Swath Width(ft),Yield Mass (Dry)(lb/ac),Yield Mass (Wet)(lb/ac),Operation - Name,Monitor - Name,Product - Name
-86.18215903,40.99172544,AULT,GOTT,EAST93,,On,32.00,0.205,10/10/2012,Yes,817.03,8.453,8.453,11.10,0.365,33.00,507.16,507.16,Grain Harvest,2010385416,SOYBEANS
-86.18215618,40.99172578,AULT,GOTT,EAST93,,On,32.00,1.742,10/10/2012,Yes,817.18,77.89,77.89,11.20,0.336,33.00,4673.2,4673.2,Grain Harvest,2010385416,SOYBEANS
-86.18215188,40.99172632,AULT,GOTT,EAST93,,On,32.00,3.076,10/10/2012,Yes,817.36,49.00,49.00,11.30,0.942,33.00,2940.2,2940.2,Grain Harvest,2010385416,SOYBEANS
-86.18214680,40.99172697,AULT,GOTT,EAST93,,On,32.00,4.333,10/10/2012,Yes,817.41,59.42,59.42,11.40,1.094,33.00,3565.5,3565.5,Grain Harvest,2010385416,SOYBEANS
-86.18214213,40.99172754,AULT,GOTT,EAST93,,On,32.00,5.559,10/10/2012,Yes,817.61,74.11,74.11,11.50,1.125,33.00,4446.7,4446.7,Grain Harvest,2010385416,SOYBEANS
-86.18213766,40.99172802,AULT,GOTT,EAST93,,On,32.00,5.371,10/10/2012,Yes,817.79,69.67,69.67,11.60,1.156,33.00,4180.3,4180.3,Grain Harvest,2010385416,SOYBEANS
-86.18213199,40.99172876,AULT,GOTT,EAST93,,On,32.00,5.157,10/10/2012,Yes,817.91,65.25,65.25,11.60,1.186,33.00,3914.9,3914.9,Grain Harvest,2010385416,SOYBEANS
-86.18212499,40.99172940,AULT,GOTT,EAST93,,On,32.00,5.490,10/10/2012,Yes,818.00,67.68,67.68,11.40,1.217,33.00,4060.5,4060.5,Grain Harvest,2010385416,SOYBEANS
-86.18211756,40.99172988,AULT,GOTT,EAST93,,On,32.00,5.236,10/10/2012,Yes,818.04,61.50,61.50,11.20,1.277,33.00,3689.7,3689.7,Grain Harvest,2010385416,SOYBEANS
-86.18211031,40.99173016,AULT,GOTT,EAST93,,On,32.00,4.750,10/10/2012,Yes,818.21,54.45,54.45,11.40,1.309,33.00,3266.9,3266.9,Grain Harvest,2010385416,SOYBEANS
